title,address,access,age,floor,rent,administration,deposit,gratuity,madori,menseki
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             3階,23.3万円,5000円,23.3万円,23.3万円,2LDK,50.12m2
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             4階,23.4万円,5000円,23.4万円,23.4万円,2LDK,50.12m2
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             5階,23.5万円,5000円,23.5万円,23.5万円,2LDK,50.12m2
フレンシア文京関口,東京都文京区関口１, 東京メトロ東西線/早稲田駅 歩8分 東京メトロ有楽町線/江戸川橋駅 歩7分 都電荒川線/面影橋駅 歩12分 , 築5年 13階建 ,             5階,10.4万円,4000円,20.8万円,10.4万円,1K,25.31m2
フレンシア文京関口,東京都文京区関口１, 東京メトロ東西線/早稲田駅 歩8分 東京メトロ有楽町線/江戸川橋駅 歩7分 都電荒川線/面影橋駅 歩12分 , 築5年 13階建 ,             3階,10.6万円,4000円,21.2万円,10.6万円,1K,25.31m2
フレンシア文京関口,東京都文京区関口１, 東京メトロ東西線/早稲田駅 歩8分 東京メトロ有楽町線/江戸川橋駅 歩7分 都電荒川線/面影橋駅 歩12分 , 築5年 13階建 ,             6階,11.9万円,6000円,11.9万円,11.9万円,1LDK,30.15m2
フレンシア文京関口,東京都文京区関口１, 東京メトロ東西線/早稲田駅 歩8分 東京メトロ有楽町線/江戸川橋駅 歩7分 都電荒川線/面影橋駅 歩12分 , 築5年 13階建 ,             7階,16.9万円,6000円,16.9万円,16.9万円,1LDK,40.02m2
パークコート文京小石川　ザ　タワー,東京都文京区小石川１, 都営三田線/春日駅 歩1分 東京メトロ南北線/後楽園駅 歩2分 東京メトロ丸ノ内線/後楽園駅 歩2分 , 築3年 40階建 ,             15階,24.5万円,10000円,24.5万円,24.5万円,1LDK,42.23m2
パークコート文京小石川　ザ　タワー,東京都文京区小石川１, 都営三田線/春日駅 歩1分 東京メトロ南北線/後楽園駅 歩2分 東京メトロ丸ノ内線/後楽園駅 歩2分 , 築3年 40階建 ,             20階,40.2万円,-,40.2万円,40.2万円,2LDK,68.02m2
パークコート文京小石川　ザ　タワー,東京都文京区小石川１, 都営三田線/春日駅 歩1分 東京メトロ南北線/後楽園駅 歩2分 東京メトロ丸ノ内線/後楽園駅 歩2分 , 築3年 40階建 ,             37階,46万円,-,46万円,46万円,2LDK,61.89m2
パークコート文京小石川　ザ　タワー,東京都文京区小石川１, 都営三田線/春日駅 歩1分 東京メトロ南北線/後楽園駅 歩2分 東京メトロ丸ノ内線/後楽園駅 歩2分 , 築3年 40階建 ,             13階,53万円,-,106万円,106万円,3LDK,80.62m2
ルーチェ茗荷谷,東京都文京区大塚３, 東京メトロ丸ノ内線/茗荷谷駅 歩8分 東京メトロ丸ノ内線/新大塚駅 歩13分 都営三田線/千石駅 歩13分 , 築16年 7階建 ,             3階,12.1万円,6000円,-,12.1万円,1DK,34.56m2
ルーチェ茗荷谷,東京都文京区大塚３, 東京メトロ丸ノ内線/茗荷谷駅 歩8分 東京メトロ丸ノ内線/新大塚駅 歩13分 都営三田線/千石駅 歩13分 , 築16年 7階建 ,             4階,13.9万円,7000円,-,13.9万円,1LDK,40.74m2
東京メトロ南北線 東大前駅 5階建 築39年,東京都文京区向丘１, 東京メトロ南北線/東大前駅 歩5分 都営三田線/白山駅 歩6分 東京メトロ南北線/本駒込駅 歩8分 , 築39年 5階建 ,             4階,15.7万円,8000円,15.7万円,15.7万円,2LDK,47.34m2
東京メトロ南北線 東大前駅 5階建 築39年,東京都文京区向丘１, 東京メトロ南北線/東大前駅 歩5分 都営三田線/白山駅 歩6分 東京メトロ南北線/本駒込駅 歩8分 , 築39年 5階建 ,             4階,15.7万円,8000円,15.7万円,15.7万円,2LDK,47.34m2
東京メトロ南北線 東大前駅 8階建 築8年,東京都文京区西片２, 東京メトロ南北線/東大前駅 歩6分 都営三田線/白山駅 歩8分 東京メトロ南北線/本駒込駅 歩10分 , 築8年 8階建 ,             8階,9.9万円,10000円,-,9.9万円,1K,25.43m2
東京メトロ南北線 東大前駅 8階建 築8年,東京都文京区西片２, 東京メトロ南北線/東大前駅 歩6分 都営三田線/白山駅 歩8分 東京メトロ南北線/本駒込駅 歩10分 , 築8年 8階建 ,             6階,10.2万円,8000円,-,10.2万円,1K,25.43m2
東京メトロ南北線 東大前駅 8階建 築8年,東京都文京区西片２, 東京メトロ南北線/東大前駅 歩6分 都営三田線/白山駅 歩8分 東京メトロ南北線/本駒込駅 歩10分 , 築8年 8階建 ,             5階,10.5万円,9000円,-,10.5万円,1K,25.43m2
プレノ小石川,東京都文京区小石川５, 東京メトロ丸ノ内線/茗荷谷駅 歩6分 都営三田線/白山駅 歩16分 都営三田線/千石駅 歩17分 , 築19年 地下1地上9階建 ,             4階,37万円,10000円,74万円,37万円,3LDK,86.3m2
プレノ小石川,東京都文京区小石川５, 東京メトロ丸ノ内線/茗荷谷駅 歩6分 都営三田線/白山駅 歩16分 都営三田線/千石駅 歩17分 , 築19年 地下1地上9階建 ,             5階,42万円,10000円,84万円,42万円,2LDK,86.57m2
プレノ小石川,東京都文京区小石川５, 東京メトロ丸ノ内線/茗荷谷駅 歩6分 都営三田線/白山駅 歩16分 都営三田線/千石駅 歩17分 , 築19年 地下1地上9階建 ,             5階,42万円,10000円,84万円,42万円,2LDK,86.57m2
プレノ小石川,東京都文京区小石川５, 東京メトロ丸ノ内線/茗荷谷駅 歩6分 都営三田線/白山駅 歩16分 都営三田線/千石駅 歩17分 , 築19年 地下1地上9階建 ,             5階,42万円,10000円,84万円,42万円,2LDK,86.57m2
プレノ小石川,東京都文京区小石川５, 東京メトロ丸ノ内線/茗荷谷駅 歩6分 都営三田線/白山駅 歩16分 都営三田線/千石駅 歩17分 , 築19年 地下1地上9階建 ,             5階,42万円,10000円,84万円,42万円,2LDK,86.57m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             1階,11.7万円,8000円,11.7万円,-,1K,27.11m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             1階,11.7万円,8000円,11.7万円,-,1K,27.11m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             1階,11.8万円,8000円,11.8万円,-,1K,27.11m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             1階,11.8万円,8000円,11.8万円,-,1K,27.11m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             2階,12.1万円,8000円,12.1万円,-,1K,27.11m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             2階,12.1万円,8000円,12.1万円,-,1K,27.11m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             2階,12.1万円,8000円,12.1万円,-,1K,27.11m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             2階,12.1万円,8000円,12.1万円,-,1K,27.11m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             2階,12.2万円,8000円,12.2万円,-,1K,27.11m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             3階,12.7万円,8000円,12.7万円,-,1K,27.11m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             1階,19.2万円,10000円,19.2万円,-,1LDK,43.06m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             1階,19.3万円,10000円,19.3万円,-,1LDK,43.06m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             2階,19.6万円,10000円,19.6万円,-,1LDK,43.06m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             2階,19.7万円,10000円,19.7万円,-,1LDK,43.06m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             2階,19.7万円,10000円,19.7万円,-,1LDK,43.06m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             4階,20.2万円,10000円,20.2万円,-,1LDK,43.06m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             4階,20.3万円,10000円,20.3万円,-,1LDK,43.06m2
テラスミーレ文京弥生,東京都文京区弥生１, 東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分 , 新築 4階建 ,             4階,20.8万円,10000円,20.8万円,-,1LDK,43.06m2
